1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Neg,Pos,Pos,Pos,Pos,Pos,Neg,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Neg,Neg,Pos,Pos,Neg,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos
0.00,122480000.00,90859000.00,0.00,189860000.00,0.00,63433000.00,0.00,110610000.00,0.00,68471000.00,0.00,0.00,0.00,58930000.00,0.00,0.00,128180000.00,0.00,36449000.00,0.00,0.00,38201000.00,36992000.00,0.00,0.00,0.00,17820000.00,0.00,36194000.00,0.00,0.00,0.00,0.00,0.00,0.00,45977000.00,0.00,0.00,0.00,0.00,47518000.00,125630000.00,0.00,0.00,54059000.00,54673000.00,48433000.00,0.00,49436000.00,0.00,109450000.00,0.00,211640000.00,80850000.00,0.00,52905000.00,0.00,21639000.00
201910000.00,0.00,0.00,0.00,0.00,237180000.00,0.00,243000000.00,121210000.00,266530000.00,0.00,0.00,248010000.00,114980000.00,156010000.00,83850000.00,53641000.00,437980000.00,285860000.00,178530000.00,187920000.00,105300000.00,97019000.00,0.00,119060000.00,157970000.00,179500000.00,262390000.00,122310000.00,211720000.00,158940000.00,123120000.00,417220000.00,213870000.00,86478000.00,156270000.00,227490000.00,183310000.00,101270000.00,158720000.00,229940000.00,0.00,0.00,317090000.00,0.00,0.00,222940000.00,237750000.00,140260000.00,135900000.00,282090000.00,0.00,0.00,0.00,0.00,271940000.00,262310000.00,345880000.00,214580000.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11194000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69195000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,201900000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33708000.00,0.00,0.00,0.00,34850000.00,41952000.00,0.00,54828000.00,62401000.00,0.00,42271000.00,40556000.00,0.00,51513000.00,31700000.00,76605000.00,50629000.00,21063000.00,55143000.00,67573000.00,49331000.00,66575000.00,56782000.00,52917000.00,67687000.00,68169000.00,78214000.00,49523000.00,48370000.00,109190000.00,51633000.00,61667000.00,57567000.00,46407000.00,58267000.00,49932000.00,98081000.00,47513000.00,37394000.00,37165000.00,80469000.00,0.00,76430000.00,90002000.00,56810000.00,0.00,110670000.00,62055000.00,117190000.00,79130000.00,80995000.00,0.00,0.00,0.00,0.00,74690000.00,81581000.00,73064000.00,55623000.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37803000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35565000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7480100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
93345000.00,0.00,0.00,0.00,0.00,0.00,0.00,81971000.00,47860000.00,0.00,0.00,0.00,103260000.00,126340000.00,0.00,566700000.00,154310000.00,0.00,0.00,36045000.00,38230000.00,61089000.00,78870000.00,99058000.00,142100000.00,0.00,59473000.00,31777000.00,96076000.00,0.00,81505000.00,132150000.00,164950000.00,72085000.00,132200000.00,64066000.00,107500000.00,86793000.00,104290000.00,93781000.00,137400000.00,0.00,0.00,104770000.00,47114000.00,0.00,68327000.00,0.00,102020000.00,139810000.00,113500000.00,0.00,0.00,0.00,0.00,335150000.00,67491000.00,0.00,58966000.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31803000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
